price;distance
16499;35217
16517;48918
18099;33536
12998;68574
22722;3129
17250;34902
10490;90849
20100;10438
13900;74095
6995;107223
19495;25439
15998;51360
23000;10
16591;47899
15249;42038
18985;27122
14987;59730
18450;12145
19000;18192
17775;28888
17989;27123
18580;28933
10993;85179
15999;42101
19500;8550
9896;107160
19498;16789
23000;311
8750;100285
19566;37494
18861;23257
18795;16973
8950;94599
18400;30547
18971;24103
16250;51572
15790;44786
11677;87888
15999;42335
12087;75759
15498;51806
14995;45907
10000;98011
7488;93940
19977;21907
22493;5
11300;90585
19000;23779
14500;69006
12492;95357
16664;39779
15988;56612
17995;21430
22988;1761
15698;63924
16685;52874
16447;52288
16995;34673
11985;79094
9999;89668
10499;83712
20498;22354
12290;70834
12491;92106
14483;72684
15950;55573
11988;86925
8995;110586
13995;67261
15290;43185
14995;55578
22988;2183
19000;22847
19388;19867
16400;65403
19892;25637
18250;24730
20990;20095
15795;54328
19791;14682
16994;31299
16198;42122
17263;32991
12950;46042
14995;64453
17599;32876
19490;27393
20605;28257
14630;62057
14788;67143
18151;45078
18938;30482
17230;37449
17750;22625
13926;69016
13500;70966
8985;111471
16810;42720
17000;40436
16988;44792
8995;85723
15975;52966
18641;31078
16777;44606
16250;41511
18500;33624
21750;2039
20000;34629
10998;79233
9499;69656
16995;41018
15000;52288
17997;31213
16695;44696
8756;100523
13988;61697
20900;3524
13949;69668
16494;48567
17000;46804
23995;3089
8250;112686
18495;33538
16501;53254
16494;48667
17796;30553
15568;56177
17490;35641
17791;27810
17497;35635
21111;13036
5995;105743
18999;43493
13495;75685
11949;68507
16495;57624
19599;10700
19885;24838
14000;68060
13990;69550
18495;23806
18500;23868
18941;28704
19390;21770
21994;5742
12800;83450
18700;28091
7900;131986
18500;32733
17000;42091
10500;94371
14085;74736
13987;63810
8495;110481
19419;29852
12996;109508
19491;19345
18995;26023
17995;30193
9995;101193
17250;39305
12995;82289
18750;30203
8999;104641
19988;15179
18995;27305
7990;82451
18490;54500
18400;25755
17999;36309
8195;71572
15994;54814
15488;62461
18999;27247
13989;71817
18380;24388
17498;45208
20999;12760
12000;77631
15450;61620
14500;64575
13300;83017
18400;30571
18235;19539
10722;72370
19860;25785
7498;107916
19388;14757
19875;28491
19500;32272
16660;52744
19900;19669
5000;101901
12387;89007
8495;96261
10573;92364
10994;119257
19995;16195
20485;3211
17250;40373
10250;99226
18888;15446
22900;6593
18991;20720
16995;43675
18900;33231
6997;123955
13999;54326
18800;44986
18969;44848
16950;46186
10995;90722
18250;34166
18092;41927
12950;75860
11785;95689
9500;108841
19990;26284
13995;72000
21300;12085
17591;45736
17290;40717
14450;78930
11595;83840
19995;23150
18900;36320
10990;86429
18225;39642
18995;30421
18882;26549
18442;28529
16600;56870
17822;43661
22900;2444
19538;34125
19750;21688
16995;35930
9795;105850
19993;18741
16591;43732
12970;31955
22300;5757
18950;48062
9500;101028
10688;95366
9350;108774
13687;59301
9990;103877
17477;39218
9500;122143
17350;40840
9450;95741
23733;2515
15524;51188
17927;44127
21995;5574
8488;91619
20297;22430
17500;39221
17991;20963
17000;68335
16950;28750
8350;98256
9900;112246
13995;64436
21481;4951
22888;6739
18980;22028
10900;76355
22739;5879
19882;27604
12995;76713
6444;126408
10995;68006
9875;109666
10995;92717
18490;27965
17989;34014
10693;110574
20100;17353
13695;68962
22000;6873
11795;91869
19497;16015
18994;27729
9688;82893
16488;53876
8995;99892
22900;4282
11995;89647
21995;6698
18495;42530
18575;27706
14533;68738
16900;58915
16998;33380
15495;47635
15755;44541
10500;91000
20500;23826
16290;38217
11991;95384
15995;41805
13300;65994
17930;35748
21950;4622
19188;32682
18995;33632
9799;115497
19752;29491
14995;80275
14782;69820
18600;34544
18995;31414
17297;26555
14900;73851
16995;53044
21006;30638
9792;119069
11550;79000
19991;27008
18195;33185
11534;70739
16695;37704
11995;97261
17988;35864
9799;109125
21995;8339
9775;103940
15659;64176
22000;8873
21485;8859
15495;57642
17951;37006
14521;85612
21000;18316
12994;62664
17900;44855
11587;98022
14496;66258
18750;27569
18900;25894
16983;57908
22999;3947
19788;28293
17500;35516
16495;56228
9692;86218
13490;83032
7995;80404
16986;51878
8950;111976
19568;35473
10417;112619
16988;41108
17097;39480
12000;75510
18995;33335
16995;49643
18500;40175
15998;55748
22688;9782
16990;32718
8995;104769
12939;97862
8495;92549
15987;71167
9590;100556
17597;34373
22682;6623
9999;100501
17991;32359
7995;116097
19000;33553
17697;42046
18657;21786
19975;23541
11900;86465
19900;24963
21995;5001
15995;54107
10995;112738
18296;33742
9985;88417
23000;3771
17480;44677
16999;59769
19495;29326
16293;53507
11000;115583
9790;112536
17990;39861
13995;78981
11730;89099
17489;42195
19995;15055
22495;2190
21499;20667
13400;95119
15989;54854
16987;45435
7995;117102
15844;65266
22548;3577
16995;51434
19900;40387
18888;32685
23000;8970
20988;14910
19995;23353
10900;106077
20996;23210
15995;58866
10995;115877
18021;57647
20500;18705
17400;40765
22060;20947
19968;31019
12387;99384
14690;73227
15990;64290
18991;29398
21995;12751
19668;17641
10440;81355
11000;100270
10977;56487
6995;104486
19995;24212
18850;30362
14792;70620
18890;39731
23600;2286
18985;44693
14893;46362
17445;37649
21088;12200
18997;34436
24995;2551
14195;106837
15997;44860
17999;47777
24995;2773
17990;41172
19888;26116
11785;81854
17500;45983
22998;9418
22999;14001
21300;22536
6800;116317
18000;32790
19500;23342
22900;6745
15900;78073
19695;29230
20998;14041
7800;95912
13999;37060
14498;66870
13995;55734
8995;98757
17994;38701
19485;47486
23600;3329
19295;44827
17889;34473
18000;41742
19242;18318
17945;51243
12950;77351
10790;111751
22180;19282
22985;4873
14495;50327
14986;70231
16999;45996
24995;3950
12911;106546
14990;70221
19867;29658
19999;35115
19995;38621
19390;26181
10649;106887
20700;17281
23495;3577
11950;98738
14288;79215
20490;33533
13908;72018
12799;88257
16999;59233
15900;62381
9884;106514
21995;15504
16750;49706
17498;46450
21698;10799
7995;129566
21523;18598
18797;49814
19941;29978
16999;49366
17998;40310
18741;25910
16991;39944
10995;102351
19750;31364
16988;55321
24095;4470
16598;48267
21348;18212
15299;23696
14700;75011
23995;1039
13000;87241
15988;68338
21023;17377
16999;57303
16998;47526
19000;44468
24000;6238
23990;5448
19997;27329
8802;97699
23995;1317
4990;159601
21088;16861
18995;23658
23900;2327
11500;97095
10795;100692
24678;3725
19890;22094
18890;34510
17991;47652
16627;66207
8995;128000
12999;88110
19997;47362
20490;15527
19890;22755
22998;5814
12983;98298
20300;17563
23995;2416
21298;24017
14995;64794
11885;96786
18997;26503
8999;128518
21000;23646
13995;76725
9491;114434
16754;57755
17791;50497
10995;104696
19895;20357
10995;96132
24995;7632
17995;37461
9999;108332
6988;141068
23448;14615
22400;15233
20377;27440
9991;127071
5890;140863
9450;123820
4899;144259
8249;112570
23166;3252
19850;24220
20777;34178
13495;85147
10995;114040
6900;129000
15997;53861
18487;32294
17999;46808
17995;38317
16890;31117
15999;53840
9925;101535
9995;117896
17999;38446
13750;81043
5982;158997
22398;14974
12991;106048
17889;48563
21999;13443
14495;64063
12999;90420
14999;30848
15000;70036
19915;24654
24500;3855
10383;105376
13489;68000
18995;44481
20000;32414
12035;121300
20900;30787
23995;2761
23566;16
23566;16
13995;79388
20500;27033
14295;75981
13995;84880
21595;19280
10995;98762
20980;37714
19490;30883
15487;40633
17931;53746
6995;138636
11485;93187
20990;24649
9548;125194
7499;79657
9688;80514
21747;20038
19997;31546
17999;50193
11995;104111
16989;49358
18766;51937
5995;116690
11877;112044
15821;61105
23500;2904
22991;7719
18999;34558
7702;135787
15989;82504
25998;12
24006;2937
20900;26651
13995;72533
14985;79532
8848;125998
18988;55373
15897;55979
4599;90008
19889;36724
21571;28033
19999;31989
19414;33253
14795;80729
17639;46163
17757;55156
23675;10624
8995;107700
18295;64282
22988;15094
15000;45340
6985;106252
13995;99319
22784;13227
19988;29608
9993;108470
22993;7923
10884;108432
7698;110155
8888;134069
21253;35282
7995;120252
17599;23713
20990;27203
8999;125810
18995;48502
8333;108124
15991;78785
7795;149122
14999;35231
9900;137747
18995;39922
6991;128037
15999;64719
19998;33698
8862;128444
9000;137399
23800;9796
8995;65500
22004;30125
10603;107803
22995;21526
17998;52986
12988;99831
24990;2351
23800;10332
16728;59880
10750;91044
11202;101058
17995;53450
12999;79672
11500;36137
19990;38513
18990;50558
6495;70628
6900;125511
6995;143500
19995;40628
22700;5886
21995;26724
10495;119001
18850;43926
21998;22524
7995;104424
9999;116692
23806;8971
9500;97153
22991;12893
11990;48698
10500;111061
23991;7089
15295;79256
7500;130207
18995;34512
20990;39875
18995;43637
14999;38840
22988;20608
14000;73117
24900;5095
16998;24779
20991;20758
8991;138812
9995;118100
10995;106080
12995;89896
23994;12267
24800;3159
22998;14330
24900;5763
6995;111701
7888;141367
13085;104301
9987;139075
20280;25571
9998;146017
15990;72725
22687;15048
6500;135488
21000;33281
24995;2104
11775;81985
18988;46814
7850;119596
5990;106333
14994;61372
24995;2712
7125;154566
23322;19666
6997;113133
8966;56344
12095;77577
15998;40365
10750;111188
24583;2987
24289;5068
13995;45100
19490;40272
19497;47910
6999;130881
7990;127558
24772;2134
7999;149924
13595;77485
21995;19097
18980;49840
21483;39095
6999;122790
15995;65792
16495;44251
7995;71870
16777;28311
17988;51255
13166;79100
5774;150057
13600;88283
14777;112143
13989;111255
15989;75435
10285;144462
20900;36637
10995;110264
8597;122000
11995;98357
12498;114533
11990;107211
14000;82390
6995;64047
4990;170470
7863;79812
19440;51814
18388;23788
6995;133362
7495;144464
8999;64177
14470;68550
11995;107784
9995;123339
19500;34395
5994;163012
22888;25819
25300;2396
6998;150383
6499;140000
8195;128269
4295;166671
20500;40005
13995;93007
23997;6694
15495;92207
11687;51619
17987;63669
7950;131847
10995;138269
24165;9641
15588;87957
22495;16138
12695;75128
11996;100789
7499;84765
9731;67412
20995;34774
16999;40524
24974;12306
11800;103466
11689;55289
17974;28948
14875;73075
15995;51807
5999;160619
16295;46761
25990;804
20988;36629
17500;28951
24261;7037
20995;36955
7450;101561
25990;1722
21998;22574
16613;91605
10995;115120
9550;124280
9690;69611
12995;64224
10751;63502
11488;109709
12776;66777
6990;138142
22495;33659
13668;100736
17499;18907
5999;133159
5992;116477
25093;4862
14999;99613
11572;74812
14893;34906
11549;120661
7500;115609
26000;4023
21488;26464
5999;159687
12990;72815
9000;123724
7450;116719
11777;48214
6750;123226
25485;1598
15395;90015
17552;29663
15779;46624
24595;8582
14999;42345
21995;35743
12500;108523
7995;137000
22786;33011
18999;19115
13995;99167
7950;100240
9995;130538
26859;1260
25322;6217
6995;141000
8995;116987
15995;48510
16988;78752
26885;1160
5900;118577
13900;54542
16000;54697
7999;93457
18850;31615
7895;68920
10991;123880
11250;74140
19788;49780
3450;176743
14485;47769
15206;60489
24969;18455
10995;75193
21555;34186
8999;118000
22988;27927
5995;147000
25988;699
17793;28323
8998;56844
21900;33156
21995;41200
6983;157237
17400;24549
8299;91304
16495;35611
11000;135429
23798;12622
22998;22291
13998;75585
26000;980
4995;149872
15995;50882
6995;81400
15790;52898
15888;87553
9250;124507
25988;1443
24907;9126
10991;66014
8995;74891
7999;61093
9990;87801
6995;147858
26000;1503
12995;114012
25998;1666
17200;39666
10247;70506
4995;89165
17990;27813
10999;121534
6508;158462
17995;42262
6911;163458
13520;71961
19788;26344
6000;102450
14500;60159
10997;98000
6499;167554
15295;43047
9737;85483
15997;31814
12499;59788
25835;1987
8299;93221
11995;103820
10000;135677
13388;40633
16999;40182
17930;30209
8795;78808
6995;136335
17995;56670
8000;105285
11950;103892
13450;74617
8994;114382
13500;33384
25500;71
17750;76298
10300;81479
11990;120421
12489;73332
7997;63947
13509;69757
14650;52746
9690;122666
25998;4659
18000;27422
17599;26274
13488;62309
27000;10
26000;4949
4970;126966
27000;201
16995;41250
7995;105158
15950;46600
17800;87167
17384;35257
19995;54584
13395;96082
14841;65450
10499;60872
12999;65171
18284;37067
14483;76310
19927;26433
5995;185179
16803;45351
13488;73362
10989;98393
9851;122307
26990;378
14991;61089
13981;39518
8425;95070
16488;49500
4998;189350
6997;71840
5000;172148
17995;57091
6500;171347
9499;82225
6495;154260
8750;74161
8000;91860
11636;82520
9000;98508
6498;98047
13988;74887
7558;147798
25998;7043
7995;101132
17995;10131
17500;29829
5900;145270
10535;72138
2995;120001
25595;5951
18777;42314
15499;49837
22995;27603
15500;59375
16950;37136
16300;54835
4995;165476
17999;24692
14477;68335
7200;158881
7999;76367
8877;65580
26324;4698
26990;3020
26500;4549
18703;35432
13477;93630
10799;71984
5650;158120
12970;69334
10497;117029
16977;47777
11500;85829
14999;71518
11199;72963
14550;49134
7995;59991
7995;85813
16402;45177
13195;93557
7100;132826
14539;59046
10450;91576
12984;83369
8995;82887
17890;36000
8570;100325
10402;92445
12895;97693
5995;163655
17995;37004
19453;27235
14495;87163
5995;163763
15968;67414
7950;87335
18991;33773
15500;52979
14995;65972
17500;49186
9990;98982
6795;171935
4488;174002
12995;131796
16800;41590
17376;51662
13990;92070
7985;104931
17999;35936
18995;43636
8700;71814
13892;55459
18894;33261
17998;49891
6499;150500
18999;40291
9750;85638
9491;98268
9400;90302
19970;25573
26598;4309
16494;58275
9500;99020
15890;89678
18991;32405
7895;102288
15888;96267
15995;41547
10699;99560
9375;72529
9945;100641
14444;80297
5999;166290
17990;29105
18794;32661
17000;50365
15990;60948
11290;92161
14495;80601
9983;73415
11929;75545
17893;25295
10995;80870
13995;96586
19272;31937
5445;156705
27986;1971
18978;38998
18985;39734
19362;32584
16486;56827
5500;182179
9499;81041
5500;165033
19881;29734
13970;62879
9900;86215
16975;50837
13970;70515
16900;63845
26492;4853
6995;155137
5771;111138
14569;72135
10995;72264
20999;13344
11999;89270
18500;35655
6777;169524
26600;4811
19999;51790
16325;51659
26493;5782
9599;89768
7995;136321
19933;26213
7995;92016
7250;92400
7112;140736
18941;39333
12997;63341
26984;3419
12978;49390
13905;91118
14200;79103
9900;103959
26599;3476
18844;47372
5900;170902
14995;74554
12491;82945
15348;45229
10990;83007
12995;75783
23887;24361
26599;4058
11495;95232
8999;98336
1985;131239
12999;75216
8995;98706
14800;79949
8453;107726
9118;106445
13788;99852
4633;174773
27988;472
26500;6128
26500;8473
14665;56394
12195;105100
16985;50249
19994;66576
16900;61408
12695;107950
8296;105142
7000;111645
11995;63604
11999;57092
15771;54408
7281;115068
16499;57322
5990;171895
11977;64116
8899;92552
15999;50124
14973;83593
18995;37540
22044;15585
12000;79500
17403;43360
11995;134544
12900;141044
14992;88390
16999;41352
13995;74977
8950;109870
17193;53830
14998;44502
17290;44137
20500;34063
20888;26347
4950;185918
6995;187132
20994;18320
13980;70274
10505;112391
13900;92891
16340;57499
20495;44420
14000;83860
3900;191380
11598;117932
16999;57243
19998;34235
18995;33300
8744;71044
11500;103403
11750;97024
7991;89979
12999;88711
7995;149086
17898;35220
7499;94958
5995;104504
18995;25352
10599;100772
10795;89922
19877;31161
15000;57767
20977;18002
26900;5285
6500;116035
19488;41373
20642;25942
21170;20892
19699;39822
18989;60338
18998;52106
6499;107736
7900;108100
15500;59624
15995;62266
13000;102457
13995;60648
12995;89964
8495;128393
18995;41875
9998;91808
8999;103843
17999;38491
21000;22043
12990;107505
14000;81729
21000;39576
19799;25621
12488;72140
14500;55071
16500;92657
6495;134343
11294;103560
11997;68236
12798;50000
18390;34264
5977;104751
8995;70121
9742;100741
5495;103682
16200;78556
19000;35694
19800;26062
19351;41531
13194;89569
12900;92017
8499;110711
21621;25402
17975;39701
12990;91137
16449;62960
16014;83465
4695;175338
19513;29889
7998;99827
6495;119987
15995;55281
8995;96640
26991;7740
17900;54438
10923;100640
11750;46500
14657;89724
12000;77255
15772;76678
12995;65221
9911;109300
9999;67866
17995;32137
18688;49070
18974;47492
7994;106022
15985;75351
12083;86444
12450;70162
8495;95313
8788;109378
8394;105182
1950;139802
14431;75500
19470;46101
18981;29521
11984;97315
16399;10640
16687;69901
6888;159468
4500;127218
7985;129292
13469;100680
11521;94362
11490;69667
14772;76503
6995;105583
15995;57444
18777;53653
15977;69126
7995;78692
10200;101652
17500;55473
8995;119854
16686;62315
5000;93845
27992;8836
16949;46944
16984;53115
10999;83618
8600;113148
16992;59167
7000;116332
8999;99387
10495;107177
13987;65161
9322;122591
11395;105050
21000;24989
4995;192177
18395;65201
10995;127010
15993;16969
9995;96263
5997;118666
17451;57150
12995;94601
12995;79125
6000;154656
19694;40994
9575;102800
8356;102805
10400;101526
13500;81489
20395;23232
18981;39915
13990;57452
14584;87562
18991;50054
28000;2945
6998;133540
14454;85686
15990;50760
11300;109783
5785;210939
8735;78004
12195;96558
14499;80215
16992;60625
19677;32394
14500;78742
12500;107157
8995;109518
20303;29785
20595;31339
16750;67874
13300;100847
11888;93281
15300;89072
19450;35466
21994;14618
17477;42113
8924;189327
19990;51797
7999;108670
17759;56129
14492;101262
18795;62302
16995;56822
8950;147617
20865;32636
13395;110285
6490;133175
20985;18823
9995;140007
7995;88159
17450;60304
10995;86592
12275;110753
19000;41862
7996;105408
6995;109050
9999;107336
20900;19100
3700;114453
9917;161479
28990;10
7599;110620
20000;21645
8595;98890
5999;174600
15491;77303
16500;55357
10198;91901
17400;67365
9800;84569
11991;90494
6478;127323
17934;68501
9990;90026
11990;75513
16990;71200
22781;15517
11425;108425
9701;112488
5997;105019
5495;85329
12500;103414
17595;37948
19598;27424
13990;92621
19588;36509
6900;128761
6995;119074
19999;22682
4995;143223
14700;69350
18359;42500
4600;148095
19677;35365
15985;82222
16995;67763
9998;104056
14995;57487
17993;57020
13500;82688
14777;84729
21778;12213
15495;84857
11488;115053
18999;41110
17495;47100
12491;105467
7125;121004
20000;50123
19250;41744
5995;132575
8987;113784
19995;32820
6495;135251
12999;89956
18999;27690
19703;50962
12695;119566
15000;57704
19980;41531
6995;120928
11000;72783
16995;88018
8995;114202
9499;127964
9999;102385
20988;31472
14289;69154
16615;56732
22694;47816
17865;50741
19800;45206
18999;45741
17729;66076
8995;114721
13790;65580
8999;131882
8524;128996
14997;51140
16985;67605
16499;71886
18671;50040
11950;101884
27900;5087
13900;90341
22995;12651
5749;128461
22432;26898
14788;75189
21974;26860
6999;142093
8775;118140
9999;69000
9995;77650
17747;57173
18912;48307
19995;34730
6199;167948
13995;102796
13995;73905
17998;41748
11393;132674
13273;132984
18995;65608
4000;167321
14995;78116
12900;74305
14925;69767
19750;38435
4355;190852
20799;25842
17799;52125
8000;102665
16900;82759
11100;125587
9995;104558
12900;104000
11500;114386
19990;35992
5895;136968
9500;121518
5800;120955
21985;21921
7995;128979
14995;70410
12450;92574
6940;147285
9999;114850
10995;118748
18499;59257
15495;76964
12995;103463
21990;31371
6995;124455
9991;97000
19999;55812
12900;70688
27900;7847
11995;144801
12995;132786
16994;73681
19597;33308
20598;39722
20999;16498
6400;140735
10299;102476
8497;107070
21114;33861
16994;74779
9999;97821
20400;39998
13994;87363
15995;77323
20500;41605
12988;105088
11985;91370
21437;20814
9788;170905
16987;82307
9995;106855
13598;112042
11790;85290
9990;115580
21949;29638
22500;27263
4850;143258
20452;58563
20595;31288
9988;98912
6450;141532
8995;110889
13250;94112
11995;112901
13958;77687
16890;74889
8950;103040
5743;133074
19800;41205
6534;198679
4195;134614
18997;42579
21441;31834
19997;46425
13999;68419
12988;89983
17199;14300
14900;84652
17995;54835
8631;142945
4950;108702
13499;86493
21977;31963
15888;87696
16435;78205
14821;67581
20800;6347
14444;84128
15998;78141
7999;115419
17777;49315
11599;123752
8500;118090
2995;164694
9795;111296
7395;123034
8948;128781
13534;98551
6975;138272
17777;22161
8977;141269
7990;116007
13398;85295
8495;127146
7000;130014
17929;63912
16095;78712
13995;78205
22995;22055
10500;103225
18500;64293
27995;4700
12997;73262
21551;23693
20999;37750
8319;130174
11633;98478
7995;116563
21871;27008
17880;66906
10995;89327
10500;104177
20000;48032
6999;146400
9477;104278
9999;110312
5243;204157
9997;83579
13500;85432
21395;33264
20795;37718
20777;50929
8325;122210
18997;36692
19999;33310
